pitcherAbbrevName,Pitcher
A. Beltre,"Beltre, AJ"
T. LaMaison,"LaMaison, Tristan"
A. Smith,"Smith, Austin"
A. Mosiello,"Mosiello, Andrew"
J. McWilliams,"McWilliams, Jack"
F. Palencia,"Palencia, Fernando"
A. Gonzalez,"Gonzalez, Aidan"
P. Rovin,"Rovin, Porter"
B. Harbour,"Harbour, Brian"
J. Giordano,"Giordano, Jack"
L. Reddemann,"Reddemann, Logan"
N. Suspenzi,"Suspenzi, Nick"
H. Cody,"Cody, Hayden"
D. Harrison,"Harrison, Dallin"
J. Robertson,"Robertson, Jamie"
D. Horn,"Horn, David"
C. Scolari,"Scolari, Callan"
R. Ward,"Ward, Ryan"
R. Watson,"Watson, Rex"
